STEPS	|   PROCESS			|  A	|  B  |
4567	|  EMPTYING B 			|  28364	|  0  |
4568	|  POURING A TO B 		|  25365	|  2999  |
4569	|  EMPTYING B 			|  25365	|  0  |
4570	|  POURING A TO B 		|  22366	|  2999  |
4571	|  EMPTYING B 			|  22366	|  0  |
4572	|  POURING A TO B 		|  19367	|  2999  |
4573	|  EMPTYING B 			|  19367	|  0  |
4574	|  POURING A TO B 		|  16368	|  2999  |
4575	|  EMPTYING B 			|  16368	|  0  |
4576	|  POURING A TO B 		|  13369	|  2999  |
4577	|  EMPTYING B 			|  13369	|  0  |
4578	|  POURING A TO B 		|  10370	|  2999  |
4579	|  EMPTYING B 			|  10370	|  0  |
4580	|  POURING A TO B 		|  7371	|  2999  |
4581	|  EMPTYING B 			|  7371	|  0  |
4582	|  POURING A TO B 		|  4372	|  2999  |
4583	|  EMPTYING B 			|  4372	|  0  |
4584	|  POURING A TO B 		|  1373	|  2999  |
4585	|  EMPTYING B 			|  1373	|  0  |
4586	|  POURING A TO B 		|  0	|  1373  |
4587	|  FILLING A FULLY		|  39989	|  1373  |
4588	|  POURING A TO B 		|  38363	|  2999  |
4589	|  EMPTYING B 			|  38363	|  0  |
4590	|  POURING A TO B 		|  35364	|  2999  |
4591	|  EMPTYING B 			|  35364	|  0  |
4592	|  POURING A TO B 		|  32365	|  2999  |
4593	|  EMPTYING B 			|  32365	|  0  |
4594	|  POURING A TO B 		|  29366	|  2999  |
4595	|  EMPTYING B 			|  29366	|  0  |
4596	|  POURING A TO B 		|  26367	|  2999  |
4597	|  EMPTYING B 			|  26367	|  0  |
4598	|  POURING A TO B 		|  23368	|  2999  |
4599	|  EMPTYING B 			|  23368	|  0  |
4600	|  POURING A TO B 		|  20369	|  2999  |
4601	|  EMPTYING B 			|  20369	|  0  |
4602	|  POURING A TO B 		|  17370	|  2999  |
4603	|  EMPTYING B 			|  17370	|  0  |
4604	|  POURING A TO B 		|  14371	|  2999  |
4605	|  EMPTYING B 			|  14371	|  0  |
4606	|  POURING A TO B 		|  11372	|  2999  |
4607	|  EMPTYING B 			|  11372	|  0  |
4608	|  POURING A TO B 		|  8373	|  2999  |
4609	|  EMPTYING B 			|  8373	|  0  |
4610	|  POURING A TO B 		|  5374	|  2999  |
4611	|  EMPTYING B 			|  5374	|  0  |
4612	|  POURING A TO B 		|  2375	|  2999  |
4613	|  EMPTYING B 			|  2375	|  0  |
4614	|  POURING A TO B 		|  0	|  2375  |
4615	|  FILLING A FULLY		|  39989	|  2375  |
4616	|  POURING A TO B 		|  39365	|  2999  |
4617	|  EMPTYING B 			|  39365	|  0  |
4618	|  POURING A TO B 		|  36366	|  2999  |
4619	|  EMPTYING B 			|  36366	|  0  |
4620	|  POURING A TO B 		|  33367	|  2999  |
4621	|  EMPTYING B 			|  33367	|  0  |
4622	|  POURING A TO B 		|  30368	|  2999  |
4623	|  EMPTYING B 			|  30368	|  0  |
4624	|  POURING A TO B 		|  27369	|  2999  |
4625	|  EMPTYING B 			|  27369	|  0  |
4626	|  POURING A TO B 		|  24370	|  2999  |
4627	|  EMPTYING B 			|  24370	|  0  |
4628	|  POURING A TO B 		|  21371	|  2999  |
4629	|  EMPTYING B 			|  21371	|  0  |
4630	|  POURING A TO B 		|  18372	|  2999  |
4631	|  EMPTYING B 			|  18372	|  0  |
4632	|  POURING A TO B 		|  15373	|  2999  |
4633	|  EMPTYING B 			|  15373	|  0  |
4634	|  POURING A TO B 		|  12374	|  2999  |
4635	|  EMPTYING B 			|  12374	|  0  |
4636	|  POURING A TO B 		|  9375	|  2999  |
4637	|  EMPTYING B 			|  9375	|  0  |
4638	|  POURING A TO B 		|  6376	|  2999  |
4639	|  EMPTYING B 			|  6376	|  0  |
4640	|  POURING A TO B 		|  3377	|  2999  |
4641	|  EMPTYING B 			|  3377	|  0  |
4642	|  POURING A TO B 		|  378	|  2999  |
4643	|  EMPTYING B 			|  378	|  0  |
4644	|  POURING A TO B 		|  0	|  378  |
4645	|  FILLING A FULLY		|  39989	|  378  |
4646	|  POURING A TO B 		|  37368	|  2999  |
4647	|  EMPTYING B 			|  37368	|  0  |
4648	|  POURING A TO B 		|  34369	|  2999  |
4649	|  EMPTYING B 			|  34369	|  0  |
4650	|  POURING A TO B 		|  31370	|  2999  |
4651	|  EMPTYING B 			|  31370	|  0  |
4652	|  POURING A TO B 		|  28371	|  2999  |
4653	|  EMPTYING B 			|  28371	|  0  |
4654	|  POURING A TO B 		|  25372	|  2999  |
4655	|  EMPTYING B 			|  25372	|  0  |
4656	|  POURING A TO B 		|  22373	|  2999  |
4657	|  EMPTYING B 			|  22373	|  0  |
4658	|  POURING A TO B 		|  19374	|  2999  |
4659	|  EMPTYING B 			|  19374	|  0  |
4660	|  POURING A TO B 		|  16375	|  2999  |
4661	|  EMPTYING B 			|  16375	|  0  |
4662	|  POURING A TO B 		|  13376	|  2999  |
4663	|  EMPTYING B 			|  13376	|  0  |
4664	|  POURING A TO B 		|  10377	|  2999  |
4665	|  EMPTYING B 			|  10377	|  0  |
4666	|  POURING A TO B 		|  7378	|  2999  |
4667	|  EMPTYING B 			|  7378	|  0  |
4668	|  POURING A TO B 		|  4379	|  2999  |
4669	|  EMPTYING B 			|  4379	|  0  |
4670	|  POURING A TO B 		|  1380	|  2999  |
4671	|  EMPTYING B 			|  1380	|  0  |
4672	|  POURING A TO B 		|  0	|  1380  |
4673	|  FILLING A FULLY		|  39989	|  1380  |
4674	|  POURING A TO B 		|  38370	|  2999  |
4675	|  EMPTYING B 			|  38370	|  0  |
4676	|  POURING A TO B 		|  35371	|  2999  |
4677	|  EMPTYING B 			|  35371	|  0  |
4678	|  POURING A TO B 		|  32372	|  2999  |
4679	|  EMPTYING B 			|  32372	|  0  |
4680	|  POURING A TO B 		|  29373	|  2999  |
4681	|  EMPTYING B 			|  29373	|  0  |
4682	|  POURING A TO B 		|  26374	|  2999  |
4683	|  EMPTYING B 			|  26374	|  0  |
4684	|  POURING A TO B 		|  23375	|  2999  |
4685	|  EMPTYING B 			|  23375	|  0  |
4686	|  POURING A TO B 		|  20376	|  2999  |
4687	|  EMPTYING B 			|  20376	|  0  |
4688	|  POURING A TO B 		|  17377	|  2999  |
4689	|  EMPTYING B 			|  17377	|  0  |
4690	|  POURING A TO B 		|  14378	|  2999  |
4691	|  EMPTYING B 			|  14378	|  0  |
4692	|  POURING A TO B 		|  11379	|  2999  |
4693	|  EMPTYING B 			|  11379	|  0  |
4694	|  POURING A TO B 		|  8380	|  2999  |
4695	|  EMPTYING B 			|  8380	|  0  |
4696	|  POURING A TO B 		|  5381	|  2999  |
4697	|  EMPTYING B 			|  5381	|  0  |
4698	|  POURING A TO B 		|  2382	|  2999  |
4699	|  EMPTYING B 			|  2382	|  0  |
4700	|  POURING A TO B 		|  0	|  2382  |
4701	|  FILLING A FULLY		|  39989	|  2382  |
4702	|  POURING A TO B 		|  39372	|  2999  |
4703	|  EMPTYING B 			|  39372	|  0  |
4704	|  POURING A TO B 		|  36373	|  2999  |
4705	|  EMPTYING B 			|  36373	|  0  |
4706	|  POURING A TO B 		|  33374	|  2999  |
4707	|  EMPTYING B 			|  33374	|  0  |
4708	|  POURING A TO B 		|  30375	|  2999  |
4709	|  EMPTYING B 			|  30375	|  0  |
4710	|  POURING A TO B 		|  27376	|  2999  |
4711	|  EMPTYING B 			|  27376	|  0  |
4712	|  POURING A TO B 		|  24377	|  2999  |
4713	|  EMPTYING B 			|  24377	|  0  |
4714	|  POURING A TO B 		|  21378	|  2999  |
4715	|  EMPTYING B 			|  21378	|  0  |
4716	|  POURING A TO B 		|  18379	|  2999  |
4717	|  EMPTYING B 			|  18379	|  0  |
4718	|  POURING A TO B 		|  15380	|  2999  |
4719	|  EMPTYING B 			|  15380	|  0  |
4720	|  POURING A TO B 		|  12381	|  2999  |
4721	|  EMPTYING B 			|  12381	|  0  |
4722	|  POURING A TO B 		|  9382	|  2999  |
4723	|  EMPTYING B 			|  9382	|  0  |
4724	|  POURING A TO B 		|  6383	|  2999  |
4725	|  EMPTYING B 			|  6383	|  0  |
4726	|  POURING A TO B 		|  3384	|  2999  |
4727	|  EMPTYING B 			|  3384	|  0  |
4728	|  POURING A TO B 		|  385	|  2999  |
4729	|  EMPTYING B 			|  385	|  0  |
4730	|  POURING A TO B 		|  0	|  385  |
4731	|  FILLING A FULLY		|  39989	|  385  |
4732	|  POURING A TO B 		|  37375	|  2999  |
4733	|  EMPTYING B 			|  37375	|  0  |
4734	|  POURING A TO B 		|  34376	|  2999  |
4735	|  EMPTYING B 			|  34376	|  0  |
4736	|  POURING A TO B 		|  31377	|  2999  |
4737	|  EMPTYING B 			|  31377	|  0  |
4738	|  POURING A TO B 		|  28378	|  2999  |
4739	|  EMPTYING B 			|  28378	|  0  |
4740	|  POURING A TO B 		|  25379	|  2999  |
4741	|  EMPTYING B 			|  25379	|  0  |
4742	|  POURING A TO B 		|  22380	|  2999  |
4743	|  EMPTYING B 			|  22380	|  0  |
4744	|  POURING A TO B 		|  19381	|  2999  |
4745	|  EMPTYING B 			|  19381	|  0  |
4746	|  POURING A TO B 		|  16382	|  2999  |
4747	|  EMPTYING B 			|  16382	|  0  |
4748	|  POURING A TO B 		|  13383	|  2999  |
4749	|  EMPTYING B 			|  13383	|  0  |
4750	|  POURING A TO B 		|  10384	|  2999  |
4751	|  EMPTYING B 			|  10384	|  0  |
4752	|  POURING A TO B 		|  7385	|  2999  |
4753	|  EMPTYING B 			|  7385	|  0  |
4754	|  POURING A TO B 		|  4386	|  2999  |
4755	|  EMPTYING B 			|  4386	|  0  |
4756	|  POURING A TO B 		|  1387	|  2999  |
4757	|  EMPTYING B 			|  1387	|  0  |
4758	|  POURING A TO B 		|  0	|  1387  |
4759	|  FILLING A FULLY		|  39989	|  1387  |
4760	|  POURING A TO B 		|  38377	|  2999  |
4761	|  EMPTYING B 			|  38377	|  0  |
4762	|  POURING A TO B 		|  35378	|  2999  |
4763	|  EMPTYING B 			|  35378	|  0  |
4764	|  POURING A TO B 		|  32379	|  2999  |
4765	|  EMPTYING B 			|  32379	|  0  |
4766	|  POURING A TO B 		|  29380	|  2999  |
4767	|  EMPTYING B 			|  29380	|  0  |
4768	|  POURING A TO B 		|  26381	|  2999  |
4769	|  EMPTYING B 			|  26381	|  0  |
4770	|  POURING A TO B 		|  23382	|  2999  |
4771	|  EMPTYING B 			|  23382	|  0  |
4772	|  POURING A TO B 		|  20383	|  2999  |
4773	|  EMPTYING B 			|  20383	|  0  |
4774	|  POURING A TO B 		|  17384	|  2999  |
4775	|  EMPTYING B 			|  17384	|  0  |
4776	|  POURING A TO B 		|  14385	|  2999  |
4777	|  EMPTYING B 			|  14385	|  0  |
4778	|  POURING A TO B 		|  11386	|  2999  |
4779	|  EMPTYING B 			|  11386	|  0  |
4780	|  POURING A TO B 		|  8387	|  2999  |
4781	|  EMPTYING B 			|  8387	|  0  |
4782	|  POURING A TO B 		|  5388	|  2999  |
4783	|  EMPTYING B 			|  5388	|  0  |
4784	|  POURING A TO B 		|  2389	|  2999  |
4785	|  EMPTYING B 			|  2389	|  0  |
4786	|  POURING A TO B 		|  0	|  2389  |
4787	|  FILLING A FULLY		|  39989	|  2389  |
4788	|  POURING A TO B 		|  39379	|  2999  |
4789	|  EMPTYING B 			|  39379	|  0  |
4790	|  POURING A TO B 		|  36380	|  2999  |
4791	|  EMPTYING B 			|  36380	|  0  |
4792	|  POURING A TO B 		|  33381	|  2999  |
4793	|  EMPTYING B 			|  33381	|  0  |
4794	|  POURING A TO B 		|  30382	|  2999  |
4795	|  EMPTYING B 			|  30382	|  0  |
4796	|  POURING A TO B 		|  27383	|  2999  |
4797	|  EMPTYING B 			|  27383	|  0  |
4798	|  POURING A TO B 		|  24384	|  2999  |
4799	|  EMPTYING B 			|  24384	|  0  |
4800	|  POURING A TO B 		|  21385	|  2999  |
4801	|  EMPTYING B 			|  21385	|  0  |
4802	|  POURING A TO B 		|  18386	|  2999  |
4803	|  EMPTYING B 			|  18386	|  0  |
4804	|  POURING A TO B 		|  15387	|  2999  |
4805	|  EMPTYING B 			|  15387	|  0  |
4806	|  POURING A TO B 		|  12388	|  2999  |
4807	|  EMPTYING B 			|  12388	|  0  |
4808	|  POURING A TO B 		|  9389	|  2999  |
4809	|  EMPTYING B 			|  9389	|  0  |
4810	|  POURING A TO B 		|  6390	|  2999  |
4811	|  EMPTYING B 			|  6390	|  0  |
4812	|  POURING A TO B 		|  3391	|  2999  |
4813	|  EMPTYING B 			|  3391	|  0  |
4814	|  POURING A TO B 		|  392	|  2999  |
4815	|  EMPTYING B 			|  392	|  0  |
4816	|  POURING A TO B 		|  0	|  392  |
4817	|  FILLING A FULLY		|  39989	|  392  |
4818	|  POURING A TO B 		|  37382	|  2999  |
4819	|  EMPTYING B 			|  37382	|  0  |
4820	|  POURING A TO B 		|  34383	|  2999  |
4821	|  EMPTYING B 			|  34383	|  0  |
4822	|  POURING A TO B 		|  31384	|  2999  |
4823	|  EMPTYING B 			|  31384	|  0  |
4824	|  POURING A TO B 		|  28385	|  2999  |
4825	|  EMPTYING B 			|  28385	|  0  |
4826	|  POURING A TO B 		|  25386	|  2999  |
4827	|  EMPTYING B 			|  25386	|  0  |
4828	|  POURING A TO B 		|  22387	|  2999  |
4829	|  EMPTYING B 			|  22387	|  0  |
4830	|  POURING A TO B 		|  19388	|  2999  |
4831	|  EMPTYING B 			|  19388	|  0  |
4832	|  POURING A TO B 		|  16389	|  2999  |
4833	|  EMPTYING B 			|  16389	|  0  |
4834	|  POURING A TO B 		|  13390	|  2999  |
4835	|  EMPTYING B 			|  13390	|  0  |
4836	|  POURING A TO B 		|  10391	|  2999  |
4837	|  EMPTYING B 			|  10391	|  0  |
4838	|  POURING A TO B 		|  7392	|  2999  |
4839	|  EMPTYING B 			|  7392	|  0  |
4840	|  POURING A TO B 		|  4393	|  2999  |
4841	|  EMPTYING B 			|  4393	|  0  |
4842	|  POURING A TO B 		|  1394	|  2999  |
4843	|  EMPTYING B 			|  1394	|  0  |
4844	|  POURING A TO B 		|  0	|  1394  |
4845	|  FILLING A FULLY		|  39989	|  1394  |
4846	|  POURING A TO B 		|  38384	|  2999  |
4847	|  EMPTYING B 			|  38384	|  0  |
4848	|  POURING A TO B 		|  35385	|  2999  |
4849	|  EMPTYING B 			|  35385	|  0  |
4850	|  POURING A TO B 		|  32386	|  2999  |
4851	|  EMPTYING B 			|  32386	|  0  |
4852	|  POURING A TO B 		|  29387	|  2999  |
4853	|  EMPTYING B 			|  29387	|  0  |
4854	|  POURING A TO B 		|  26388	|  2999  |
4855	|  EMPTYING B 			|  26388	|  0  |
4856	|  POURING A TO B 		|  23389	|  2999  |
4857	|  EMPTYING B 			|  23389	|  0  |
4858	|  POURING A TO B 		|  20390	|  2999  |
4859	|  EMPTYING B 			|  20390	|  0  |
4860	|  POURING A TO B 		|  17391	|  2999  |
4861	|  EMPTYING B 			|  17391	|  0  |
4862	|  POURING A TO B 		|  14392	|  2999  |
4863	|  EMPTYING B 			|  14392	|  0  |
4864	|  POURING A TO B 		|  11393	|  2999  |
4865	|  EMPTYING B 			|  11393	|  0  |
4866	|  POURING A TO B 		|  8394	|  2999  |
4867	|  EMPTYING B 			|  8394	|  0  |
4868	|  POURING A TO B 		|  5395	|  2999  |
4869	|  EMPTYING B 			|  5395	|  0  |
4870	|  POURING A TO B 		|  2396	|  2999  |
4871	|  EMPTYING B 			|  2396	|  0  |
4872	|  POURING A TO B 		|  0	|  2396  |
4873	|  FILLING A FULLY		|  39989	|  2396  |
4874	|  POURING A TO B 		|  39386	|  2999  |
4875	|  EMPTYING B 			|  39386	|  0  |
4876	|  POURING A TO B 		|  36387	|  2999  |
4877	|  EMPTYING B 			|  36387	|  0  |
4878	|  POURING A TO B 		|  33388	|  2999  |
4879	|  EMPTYING B 			|  33388	|  0  |
4880	|  POURING A TO B 		|  30389	|  2999  |
4881	|  EMPTYING B 			|  30389	|  0  |
4882	|  POURING A TO B 		|  27390	|  2999  |
4883	|  EMPTYING B 			|  27390	|  0  |
4884	|  POURING A TO B 		|  24391	|  2999  |
4885	|  EMPTYING B 			|  24391	|  0  |
4886	|  POURING A TO B 		|  21392	|  2999  |
4887	|  EMPTYING B 			|  21392	|  0  |
4888	|  POURING A TO B 		|  18393	|  2999  |
4889	|  EMPTYING B 			|  18393	|  0  |
4890	|  POURING A TO B 		|  15394	|  2999  |
4891	|  EMPTYING B 			|  15394	|  0  |
4892	|  POURING A TO B 		|  12395	|  2999  |
4893	|  EMPTYING B 			|  12395	|  0  |
4894	|  POURING A TO B 		|  9396	|  2999  |
4895	|  EMPTYING B 			|  9396	|  0  |
4896	|  POURING A TO B 		|  6397	|  2999  |
4897	|  EMPTYING B 			|  6397	|  0  |
4898	|  POURING A TO B 		|  3398	|  2999  |
4899	|  EMPTYING B 			|  3398	|  0  |
4900	|  POURING A TO B 		|  399	|  2999  |
4901	|  EMPTYING B 			|  399	|  0  |
4902	|  POURING A TO B 		|  0	|  399  |
4903	|  FILLING A FULLY		|  39989	|  399  |
4904	|  POURING A TO B 		|  37389	|  2999  |
4905	|  EMPTYING B 			|  37389	|  0  |
4906	|  POURING A TO B 		|  34390	|  2999  |
4907	|  EMPTYING B 			|  34390	|  0  |
4908	|  POURING A TO B 		|  31391	|  2999  |
4909	|  EMPTYING B 			|  31391	|  0  |
4910	|  POURING A TO B 		|  28392	|  2999  |
4911	|  EMPTYING B 			|  28392	|  0  |
4912	|  POURING A TO B 		|  25393	|  2999  |
4913	|  EMPTYING B 			|  25393	|  0  |
4914	|  POURING A TO B 		|  22394	|  2999  |
4915	|  EMPTYING B 			|  22394	|  0  |
4916	|  POURING A TO B 		|  19395	|  2999  |
4917	|  EMPTYING B 			|  19395	|  0  |
4918	|  POURING A TO B 		|  16396	|  2999  |
4919	|  EMPTYING B 			|  16396	|  0  |
4920	|  POURING A TO B 		|  13397	|  2999  |
4921	|  EMPTYING B 			|  13397	|  0  |
4922	|  POURING A TO B 		|  10398	|  2999  |
4923	|  EMPTYING B 			|  10398	|  0  |
4924	|  POURING A TO B 		|  7399	|  2999  |
4925	|  EMPTYING B 			|  7399	|  0  |
4926	|  POURING A TO B 		|  4400	|  2999  |
4927	|  EMPTYING B 			|  4400	|  0  |
4928	|  POURING A TO B 		|  1401	|  2999  |
4929	|  EMPTYING B 			|  1401	|  0  |
4930	|  POURING A TO B 		|  0	|  1401  |
4931	|  FILLING A FULLY		|  39989	|  1401  |
4932	|  POURING A TO B 		|  38391	|  2999  |
4933	|  EMPTYING B 			|  38391	|  0  |
4934	|  POURING A TO B 		|  35392	|  2999  |
4935	|  EMPTYING B 			|  35392	|  0  |
4936	|  POURING A TO B 		|  32393	|  2999  |
4937	|  EMPTYING B 			|  32393	|  0  |
4938	|  POURING A TO B 		|  29394	|  2999  |
4939	|  EMPTYING B 			|  29394	|  0  |
4940	|  POURING A TO B 		|  26395	|  2999  |
4941	|  EMPTYING B 			|  26395	|  0  |
4942	|  POURING A TO B 		|  23396	|  2999  |
4943	|  EMPTYING B 			|  23396	|  0  |
4944	|  POURING A TO B 		|  20397	|  2999  |
4945	|  EMPTYING B 			|  20397	|  0  |
4946	|  POURING A TO B 		|  17398	|  2999  |
4947	|  EMPTYING B 			|  17398	|  0  |
4948	|  POURING A TO B 		|  14399	|  2999  |
4949	|  EMPTYING B 			|  14399	|  0  |
4950	|  POURING A TO B 		|  11400	|  2999  |
4951	|  EMPTYING B 			|  11400	|  0  |
4952	|  POURING A TO B 		|  8401	|  2999  |
4953	|  EMPTYING B 			|  8401	|  0  |
4954	|  POURING A TO B 		|  5402	|  2999  |
4955	|  EMPTYING B 			|  5402	|  0  |
4956	|  POURING A TO B 		|  2403	|  2999  |
4957	|  EMPTYING B 			|  2403	|  0  |
4958	|  POURING A TO B 		|  0	|  2403  |
4959	|  FILLING A FULLY		|  39989	|  2403  |
4960	|  POURING A TO B 		|  39393	|  2999  |
4961	|  EMPTYING B 			|  39393	|  0  |
4962	|  POURING A TO B 		|  36394	|  2999  |
4963	|  EMPTYING B 			|  36394	|  0  |
4964	|  POURING A TO B 		|  33395	|  2999  |
4965	|  EMPTYING B 			|  33395	|  0  |
4966	|  POURING A TO B 		|  30396	|  2999  |
4967	|  EMPTYING B 			|  30396	|  0  |
4968	|  POURING A TO B 		|  27397	|  2999  |
4969	|  EMPTYING B 			|  27397	|  0  |
4970	|  POURING A TO B 		|  24398	|  2999  |
4971	|  EMPTYING B 			|  24398	|  0  |
4972	|  POURING A TO B 		|  21399	|  2999  |
4973	|  EMPTYING B 			|  21399	|  0  |
4974	|  POURING A TO B 		|  18400	|  2999  |
4975	|  EMPTYING B 			|  18400	|  0  |
4976	|  POURING A TO B 		|  15401	|  2999  |
4977	|  EMPTYING B 			|  15401	|  0  |
4978	|  POURING A TO B 		|  12402	|  2999  |
4979	|  EMPTYING B 			|  12402	|  0  |
4980	|  POURING A TO B 		|  9403	|  2999  |
4981	|  EMPTYING B 			|  9403	|  0  |
4982	|  POURING A TO B 		|  6404	|  2999  |
4983	|  EMPTYING B 			|  6404	|  0  |
4984	|  POURING A TO B 		|  3405	|  2999  |
4985	|  EMPTYING B 			|  3405	|  0  |
4986	|  POURING A TO B 		|  406	|  2999  |
4987	|  EMPTYING B 			|  406	|  0  |
4988	|  POURING A TO B 		|  0	|  406  |
4989	|  FILLING A FULLY		|  39989	|  406  |
4990	|  POURING A TO B 		|  37396	|  2999  |
4991	|  EMPTYING B 			|  37396	|  0  |
4992	|  POURING A TO B 		|  34397	|  2999  |
4993	|  EMPTYING B 			|  34397	|  0  |
4994	|  POURING A TO B 		|  31398	|  2999  |
4995	|  EMPTYING B 			|  31398	|  0  |
4996	|  POURING A TO B 		|  28399	|  2999  |
4997	|  EMPTYING B 			|  28399	|  0  |
4998	|  POURING A TO B 		|  25400	|  2999  |
4999	|  EMPTYING B 			|  25400	|  0  |
5000	|  POURING A TO B 		|  22401	|  2999  |
5001	|  EMPTYING B 			|  22401	|  0  |
5002	|  POURING A TO B 		|  19402	|  2999  |
5003	|  EMPTYING B 			|  19402	|  0  |
5004	|  POURING A TO B 		|  16403	|  2999  |
5005	|  EMPTYING B 			|  16403	|  0  |
5006	|  POURING A TO B 		|  13404	|  2999  |
5007	|  EMPTYING B 			|  13404	|  0  |
5008	|  POURING A TO B 		|  10405	|  2999  |
5009	|  EMPTYING B 			|  10405	|  0  |
5010	|  POURING A TO B 		|  7406	|  2999  |
5011	|  EMPTYING B 			|  7406	|  0  |
5012	|  POURING A TO B 		|  4407	|  2999  |
5013	|  EMPTYING B 			|  4407	|  0  |
5014	|  POURING A TO B 		|  1408	|  2999  |
5015	|  EMPTYING B 			|  1408	|  0  |
5016	|  POURING A TO B 		|  0	|  1408  |
5017	|  FILLING A FULLY		|  39989	|  1408  |
5018	|  POURING A TO B 		|  38398	|  2999  |
5019	|  EMPTYING B 			|  38398	|  0  |
5020	|  POURING A TO B 		|  35399	|  2999  |
5021	|  EMPTYING B 			|  35399	|  0  |
5022	|  POURING A TO B 		|  32400	|  2999  |
5023	|  EMPTYING B 			|  32400	|  0  |
5024	|  POURING A TO B 		|  29401	|  2999  |
5025	|  EMPTYING B 			|  29401	|  0  |
5026	|  POURING A TO B 		|  26402	|  2999  |
5027	|  EMPTYING B 			|  26402	|  0  |
5028	|  POURING A TO B 		|  23403	|  2999  |
5029	|  EMPTYING B 			|  23403	|  0  |
5030	|  POURING A TO B 		|  20404	|  2999  |
5031	|  EMPTYING B 			|  20404	|  0  |
5032	|  POURING A TO B 		|  17405	|  2999  |
5033	|  EMPTYING B 			|  17405	|  0  |
5034	|  POURING A TO B 		|  14406	|  2999  |
5035	|  EMPTYING B 			|  14406	|  0  |
5036	|  POURING A TO B 		|  11407	|  2999  |
5037	|  EMPTYING B 			|  11407	|  0  |
5038	|  POURING A TO B 		|  8408	|  2999  |
5039	|  EMPTYING B 			|  8408	|  0  |
5040	|  POURING A TO B 		|  5409	|  2999  |
5041	|  EMPTYING B 			|  5409	|  0  |
5042	|  POURING A TO B 		|  2410	|  2999  |
5043	|  EMPTYING B 			|  2410	|  0  |
5044	|  POURING A TO B 		|  0	|  2410  |
5045	|  FILLING A FULLY		|  39989	|  2410  |
5046	|  POURING A TO B 		|  39400	|  2999  |
5047	|  EMPTYING B 			|  39400	|  0  |
5048	|  POURING A TO B 		|  36401	|  2999  |
5049	|  EMPTYING B 			|  36401	|  0  |
5050	|  POURING A TO B 		|  33402	|  2999  |
5051	|  EMPTYING B 			|  33402	|  0  |
5052	|  POURING A TO B 		|  30403	|  2999  |
5053	|  EMPTYING B 			|  30403	|  0  |
5054	|  POURING A TO B 		|  27404	|  2999  |
5055	|  EMPTYING B 			|  27404	|  0  |
5056	|  POURING A TO B 		|  24405	|  2999  |
5057	|  EMPTYING B 			|  24405	|  0  |
5058	|  POURING A TO B 		|  21406	|  2999  |
5059	|  EMPTYING B 			|  21406	|  0  |
5060	|  POURING A TO B 		|  18407	|  2999  |
5061	|  EMPTYING B 			|  18407	|  0  |
5062	|  POURING A TO B 		|  15408	|  2999  |
5063	|  EMPTYING B 			|  15408	|  0  |
5064	|  POURING A TO B 		|  12409	|  2999  |
5065	|  EMPTYING B 			|  12409	|  0  |
5066	|  POURING A TO B 		|  9410	|  2999  |
5067	|  EMPTYING B 			|  9410	|  0  |
5068	|  POURING A TO B 		|  6411	|  2999  |
5069	|  EMPTYING B 			|  6411	|  0  |
5070	|  POURING A TO B 		|  3412	|  2999  |
5071	|  EMPTYING B 			|  3412	|  0  |
5072	|  POURING A TO B 		|  413	|  2999  |
5073	|  EMPTYING B 			|  413	|  0  |
5074	|  POURING A TO B 		|  0	|  413  |
5075	|  FILLING A FULLY		|  39989	|  413  |
5076	|  POURING A TO B 		|  37403	|  2999  |
5077	|  EMPTYING B 			|  37403	|  0  |
5078	|  POURING A TO B 		|  34404	|  2999  |
5079	|  EMPTYING B 			|  34404	|  0  |
5080	|  POURING A TO B 		|  31405	|  2999  |
5081	|  EMPTYING B 			|  31405	|  0  |
5082	|  POURING A TO B 		|  28406	|  2999  |
5083	|  EMPTYING B 			|  28406	|  0  |
5084	|  POURING A TO B 		|  25407	|  2999  |
5085	|  EMPTYING B 			|  25407	|  0  |
5086	|  POURING A TO B 		|  22408	|  2999  |
5087	|  EMPTYING B 			|  22408	|  0  |
5088	|  POURING A TO B 		|  19409	|  2999  |
5089	|  EMPTYING B 			|  19409	|  0  |
5090	|  POURING A TO B 		|  16410	|  2999  |
5091	|  EMPTYING B 			|  16410	|  0  |
5092	|  POURING A TO B 		|  13411	|  2999  |
5093	|  EMPTYING B 			|  13411	|  0  |
5094	|  POURING A TO B 		|  10412	|  2999  |
5095	|  EMPTYING B 			|  10412	|  0  |
5096	|  POURING A TO B 		|  7413	|  2999  |
5097	|  EMPTYING B 			|  7413	|  0  |
5098	|  POURING A TO B 		|  4414	|  2999  |
5099	|  EMPTYING B 			|  4414	|  0  |
5100	|  POURING A TO B 		|  1415	|  2999  |
5101	|  EMPTYING B 			|  1415	|  0  |
5102	|  POURING A TO B 		|  0	|  1415  |
5103	|  FILLING A FULLY		|  39989	|  1415  |
5104	|  POURING A TO B 		|  38405	|  2999  |
5105	|  EMPTYING B 			|  38405	|  0  |
5106	|  POURING A TO B 		|  35406	|  2999  |
5107	|  EMPTYING B 			|  35406	|  0  |
5108	|  POURING A TO B 		|  32407	|  2999  |
5109	|  EMPTYING B 			|  32407	|  0  |
5110	|  POURING A TO B 		|  29408	|  2999  |
5111	|  EMPTYING B 			|  29408	|  0  |
5112	|  POURING A TO B 		|  26409	|  2999  |
5113	|  EMPTYING B 			|  26409	|  0  |
5114	|  POURING A TO B 		|  23410	|  2999  |
