STEPS	|   PROCESS			|  A	|  B  |
128	|  POURING A TO B 		|  20005	|  2999  |
129	|  EMPTYING B 			|  20005	|  0  |
130	|  POURING A TO B 		|  17006	|  2999  |
131	|  EMPTYING B 			|  17006	|  0  |
132	|  POURING A TO B 		|  14007	|  2999  |
133	|  EMPTYING B 			|  14007	|  0  |
134	|  POURING A TO B 		|  11008	|  2999  |
135	|  EMPTYING B 			|  11008	|  0  |
136	|  POURING A TO B 		|  8009	|  2999  |
137	|  EMPTYING B 			|  8009	|  0  |
138	|  POURING A TO B 		|  5010	|  2999  |
139	|  EMPTYING B 			|  5010	|  0  |
140	|  POURING A TO B 		|  2011	|  2999  |
141	|  EMPTYING B 			|  2011	|  0  |
142	|  POURING A TO B 		|  0	|  2011  |
143	|  FILLING A FULLY		|  39989	|  2011  |
144	|  POURING A TO B 		|  39001	|  2999  |
145	|  EMPTYING B 			|  39001	|  0  |
146	|  POURING A TO B 		|  36002	|  2999  |
147	|  EMPTYING B 			|  36002	|  0  |
148	|  POURING A TO B 		|  33003	|  2999  |
149	|  EMPTYING B 			|  33003	|  0  |
150	|  POURING A TO B 		|  30004	|  2999  |
151	|  EMPTYING B 			|  30004	|  0  |
152	|  POURING A TO B 		|  27005	|  2999  |
153	|  EMPTYING B 			|  27005	|  0  |
154	|  POURING A TO B 		|  24006	|  2999  |
155	|  EMPTYING B 			|  24006	|  0  |
156	|  POURING A TO B 		|  21007	|  2999  |
157	|  EMPTYING B 			|  21007	|  0  |
158	|  POURING A TO B 		|  18008	|  2999  |
159	|  EMPTYING B 			|  18008	|  0  |
160	|  POURING A TO B 		|  15009	|  2999  |
161	|  EMPTYING B 			|  15009	|  0  |
162	|  POURING A TO B 		|  12010	|  2999  |
163	|  EMPTYING B 			|  12010	|  0  |
164	|  POURING A TO B 		|  9011	|  2999  |
165	|  EMPTYING B 			|  9011	|  0  |
166	|  POURING A TO B 		|  6012	|  2999  |
167	|  EMPTYING B 			|  6012	|  0  |
168	|  POURING A TO B 		|  3013	|  2999  |
169	|  EMPTYING B 			|  3013	|  0  |
170	|  POURING A TO B 		|  14	|  2999  |
171	|  EMPTYING B 			|  14	|  0  |
172	|  POURING A TO B 		|  0	|  14  |
173	|  FILLING A FULLY		|  39989	|  14  |
174	|  POURING A TO B 		|  37004	|  2999  |
175	|  EMPTYING B 			|  37004	|  0  |
176	|  POURING A TO B 		|  34005	|  2999  |
177	|  EMPTYING B 			|  34005	|  0  |
178	|  POURING A TO B 		|  31006	|  2999  |
179	|  EMPTYING B 			|  31006	|  0  |
180	|  POURING A TO B 		|  28007	|  2999  |
181	|  EMPTYING B 			|  28007	|  0  |
182	|  POURING A TO B 		|  25008	|  2999  |
183	|  EMPTYING B 			|  25008	|  0  |
184	|  POURING A TO B 		|  22009	|  2999  |
185	|  EMPTYING B 			|  22009	|  0  |
186	|  POURING A TO B 		|  19010	|  2999  |
187	|  EMPTYING B 			|  19010	|  0  |
188	|  POURING A TO B 		|  16011	|  2999  |
189	|  EMPTYING B 			|  16011	|  0  |
190	|  POURING A TO B 		|  13012	|  2999  |
191	|  EMPTYING B 			|  13012	|  0  |
192	|  POURING A TO B 		|  10013	|  2999  |
193	|  EMPTYING B 			|  10013	|  0  |
194	|  POURING A TO B 		|  7014	|  2999  |
195	|  EMPTYING B 			|  7014	|  0  |
196	|  POURING A TO B 		|  4015	|  2999  |
197	|  EMPTYING B 			|  4015	|  0  |
198	|  POURING A TO B 		|  1016	|  2999  |
199	|  EMPTYING B 			|  1016	|  0  |
200	|  POURING A TO B 		|  0	|  1016  |
201	|  FILLING A FULLY		|  39989	|  1016  |
202	|  POURING A TO B 		|  38006	|  2999  |
203	|  EMPTYING B 			|  38006	|  0  |
204	|  POURING A TO B 		|  35007	|  2999  |
205	|  EMPTYING B 			|  35007	|  0  |
206	|  POURING A TO B 		|  32008	|  2999  |
207	|  EMPTYING B 			|  32008	|  0  |
208	|  POURING A TO B 		|  29009	|  2999  |
209	|  EMPTYING B 			|  29009	|  0  |
210	|  POURING A TO B 		|  26010	|  2999  |
211	|  EMPTYING B 			|  26010	|  0  |
212	|  POURING A TO B 		|  23011	|  2999  |
213	|  EMPTYING B 			|  23011	|  0  |
214	|  POURING A TO B 		|  20012	|  2999  |
215	|  EMPTYING B 			|  20012	|  0  |
216	|  POURING A TO B 		|  17013	|  2999  |
217	|  EMPTYING B 			|  17013	|  0  |
218	|  POURING A TO B 		|  14014	|  2999  |
219	|  EMPTYING B 			|  14014	|  0  |
220	|  POURING A TO B 		|  11015	|  2999  |
221	|  EMPTYING B 			|  11015	|  0  |
222	|  POURING A TO B 		|  8016	|  2999  |
223	|  EMPTYING B 			|  8016	|  0  |
224	|  POURING A TO B 		|  5017	|  2999  |
225	|  EMPTYING B 			|  5017	|  0  |
226	|  POURING A TO B 		|  2018	|  2999  |
227	|  EMPTYING B 			|  2018	|  0  |
228	|  POURING A TO B 		|  0	|  2018  |
229	|  FILLING A FULLY		|  39989	|  2018  |
230	|  POURING A TO B 		|  39008	|  2999  |
231	|  EMPTYING B 			|  39008	|  0  |
232	|  POURING A TO B 		|  36009	|  2999  |
233	|  EMPTYING B 			|  36009	|  0  |
234	|  POURING A TO B 		|  33010	|  2999  |
235	|  EMPTYING B 			|  33010	|  0  |
236	|  POURING A TO B 		|  30011	|  2999  |
237	|  EMPTYING B 			|  30011	|  0  |
238	|  POURING A TO B 		|  27012	|  2999  |
239	|  EMPTYING B 			|  27012	|  0  |
240	|  POURING A TO B 		|  24013	|  2999  |
241	|  EMPTYING B 			|  24013	|  0  |
242	|  POURING A TO B 		|  21014	|  2999  |
243	|  EMPTYING B 			|  21014	|  0  |
244	|  POURING A TO B 		|  18015	|  2999  |
245	|  EMPTYING B 			|  18015	|  0  |
246	|  POURING A TO B 		|  15016	|  2999  |
247	|  EMPTYING B 			|  15016	|  0  |
248	|  POURING A TO B 		|  12017	|  2999  |
249	|  EMPTYING B 			|  12017	|  0  |
250	|  POURING A TO B 		|  9018	|  2999  |
251	|  EMPTYING B 			|  9018	|  0  |
252	|  POURING A TO B 		|  6019	|  2999  |
253	|  EMPTYING B 			|  6019	|  0  |
254	|  POURING A TO B 		|  3020	|  2999  |
255	|  EMPTYING B 			|  3020	|  0  |
256	|  POURING A TO B 		|  21	|  2999  |
257	|  EMPTYING B 			|  21	|  0  |
258	|  POURING A TO B 		|  0	|  21  |
259	|  FILLING A FULLY		|  39989	|  21  |
260	|  POURING A TO B 		|  37011	|  2999  |
261	|  EMPTYING B 			|  37011	|  0  |
262	|  POURING A TO B 		|  34012	|  2999  |
263	|  EMPTYING B 			|  34012	|  0  |
264	|  POURING A TO B 		|  31013	|  2999  |
265	|  EMPTYING B 			|  31013	|  0  |
266	|  POURING A TO B 		|  28014	|  2999  |
